IRS-Number,Spray Date,SOP Code,County,Sub-county,Ward,Sub-location,Village,Sprayed,Re-visit,Reason for No Spray,Not sprayed: Female Children < 5 years,Not sprayed: Male Children < 5 years,Sprayed: Female Children < 5 years,Sprayed: Male Children < 5 years,Institution Name,Female Children <5 years sleeping under nets,Male Children <5 years sleeping under nets,Nets owned,Not sprayed: Female,Not sprayed: Male,Not sprayed: Pregnant women,Number Mixed,Pregnant women sleeping under nets,Rooms found,Rooms sprayed,Number Sleeping under nets,Sprayed: Female,Sprayed: Male,Sprayed: Pregnant women,Nets in use (Details),Children <5 years sleeping under nets
147428,04/12/2023,2020632,Homa Bay County,Homabay Township Sub-County,West Ward,North Kanyabala Sub-location,Magare Samunyi Village,1,,,0,0,2,2,,,,3,,,,0,0,3,3,6,4,11,0,3,4
87839,03/06/2023,1060826,Migory County,Suna West Sub-County,Oruba Ragana Ward,Oruba Sub-location,Siany Nyamome Village,1,,,,,2,1,,,,2,,,,0,0,3,3,6,4,2,0,2,3
221391,04/12/2023,2041083,Homa Bay County,Rachuonyo East Sub-County,Kojwach Ward,Kamuga (Kojwach Ward) Sub-location,Pundo Village (Kamuga Sub-location),1,,,0,0,0,0,,,,1,,,,0,0,1,1,1,1,1,0,1,0
147580,04/12/2023,2020643,Homa Bay County,Homabay Township Sub-County,West Ward,North Kanyabala Sub-location,Yao B Village,1,,,0,0,0,0,,,,3,,,,0,1,4,4,7,3,4,1,3,0
316281,4/18/2023,2071425,Homa Bay County,Rangwe Sub-County,Kagan Ward,Komenya  Sub-location,Mado Village,1,,,0,0,0,0,,,,2,,,,0,0,3,3,5,2,6,0,2,0
253536,04/12/2023,2051170,Homa Bay County,Rachuonyo North Sub-County,Central Karachuonyo Ward,Kodondi Sub-location,Kwaro E Village,1,,,0,0,0,0,,,,1,,,,0,0,2,2,2,2,1,0,1,0
20856,03/06/2023,1020391,Migory County,Awendo Sub-County,West Sakwa Ward,Kwe Sub-location,Kwe Village,1,,,,,0,1,,,,3,,,,1,1,5,3,5,3,7,1,3,1
188232,04/12/2023,2030747,Homa Bay County,Ndhiwa Sub-County,Kwabwai Ward,Rachar Sub-location,Munga Village,1,,,0,0,0,1,,,,0,,,,0,,2,2,,2,3,0,0,
53062,03/06/2023,1030455,Migory County,Nyatike Sub-County,North Kadem Ward,Kakelo Kakoth Sub-location,Kabuto C Village,0,,3. Funeral,0,0,,,,,,1,1,0,0,0,0,1,,1,,,,1,0
181207,04/12/2023,2030843,Homa Bay County,Ndhiwa Sub-County,Kosewe Ward,Upper Kayambo Sub-location,Ambuara Village,1,,,0,0,1,0,,,,0,,,,1,,2,2,,2,1,0,0,
336251,04/12/2023,2091605,Homa Bay County,Suba South Sub-County,Ruma Kaksingiri East Ward,Nyadenda Sub-location,Kingenyo Village (Nyadenda Sub-location),1,,,0,0,1,1,,,,1,,,,1,0,2,2,2,3,2,0,1,2
221430,04/12/2023,2041081,Homa Bay County,Rachuonyo East Sub-County,Kojwach Ward,Kamuga (Kojwach Ward) Sub-location,Pundo Village (Kamuga Sub-location),1,,,0,0,0,1,,,,2,,,,0,0,2,2,3,2,1,0,2,1
160993,04/12/2023,2021608,Homa Bay County,Homabay Township Sub-County,Homabay East Ward,Komolo Sub-location,Dissi Village,1,,,0,0,0,1,,,,1,,,,1,1,3,3,3,1,2,1,1,1
142770,3/17/2023,1070874,Migory County,Uriri Sub-County,West Kanyamkago Ward,Kajulu 1B Sub-location,Kodero Village (Kajulu 1b Sub-location),1,,,,,0,0,,,,0,,,,0,,1,1,,0,2,0,0,
319810,04/12/2023,2071452,Homa Bay County,Rangwe Sub-County,Kochia Ward,Kowili Sub-location,Karabala/Kambogo Village,1,,,0,0,0,0,,,,1,,,,0,0,3,3,1,0,1,0,1,0
181030,04/12/2023,2030825,Homa Bay County,Ndhiwa Sub-County,Kosewe Ward,Kwamo Sub-location,Rachar Village,1,,,0,0,0,0,,,,0,,,,0,,2,1,,3,0,0,0,
99203,03/06/2023,1060773,Migory County,Suna West Sub-County,Wasweta 2 Ward,Nyamilu sub location,Ramoya C Village (Nyamilu sub location),1,,,,,0,1,,,,3,,,,1,1,4,4,6,3,4,1,3,1
263604,4/18/2023,2051254,Homa Bay County,Rachuonyo North Sub-County,Karachuonyo North Ward,Koyumbre Sub-location,Owour Lower Village,1,,,0,0,1,0,,,,1,,,,0,0,2,2,2,2,2,0,1,1
94065,03/06/2023,1060782,Migory County,Suna West Sub-County,Wasimbete Ward,Mubachi Sub-location,Rosabare/Masurura Village,1,,,,,0,0,,,,0,,,,0,,3,3,,1,1,0,0,
273328,04/12/2023,2051139,Homa Bay County,Rachuonyo North Sub-County,Karachuonyo West Ward,Kayoo West Sub-location (Karachuonyo West Ward),Kotolo/Kamayo Village,1,,,0,0,0,1,,,,2,,,,0,0,3,3,3,2,2,0,2,1
188062,04/12/2023,2030739,Homa Bay County,Ndhiwa Sub-County,Kwabwai Ward,Kitiro Sub-location,Ngara Bach Village,1,,,0,0,0,1,,,,1,,,,0,0,1,1,1,1,3,0,1,0
147887,04/12/2023,2020714,Homa Bay County,Homabay Township Sub-County,Homabay Central Ward,Kalanya Kanyango Sub-location,Muche A Village,1,,,0,0,0,1,,,,4,,,,0,0,3,3,5,4,3,0,4,1
65926,03/06/2023,1050678,Migory County,Suna East Sub-County,Kakrao Ward,Saro Sub-location,Makongitwa Village,1,,,,,0,1,,,,0,,,,0,,6,4,,2,2,1,0,
111394,03/06/2023,1070995,Migory County,Uriri Sub-County,Central Kanyamkago Ward,East Kawere Rateng Sub-location,Nyasaoro Village (East Kawere Rateng' Sub-location),1,,,,,0,0,,,,2,,,,0,0,6,6,3,1,2,0,2,0
52660,03/06/2023,1030421,Migory County,Nyatike Sub-County,North Kadem Ward,Kakelo Kakoth Sub-location,Konyango Village (Kakelo Kakoth Sub-location),1,,,,,2,0,,,,2,,,,0,0,2,1,4,3,1,0,2,2
372392,04/12/2023,2030785,Homa Bay County,Ndhiwa Sub-County,North Kabuoch Ward,Konyango East Sub-location,Aluor Village (Konyango East Sub-location),1,,,0,0,0,0,,,,1,,,,0,0,2,2,2,1,1,0,1,0
18033,3/17/2023,1020371,Migory County,Awendo Sub-County,South Sakwa Ward,Alego Central Sub-location,Ulanda B Village,1,,,,,0,1,,,,1,,,,0,0,1,1,3,2,2,0,1,1
244695,4/18/2023,2051223,Homa Bay County,Rachuonyo North Sub-County,Kibiri Ward,Kodero Sub-location,Gotkomolo A  B Village,1,,,0,0,0,0,,,,2,,,,0,0,3,2,3,2,1,0,2,0
49741,03/06/2023,1030556,Migory County,Nyatike Sub-County,Muhuru Ward,Ibencho Sub-location,Ibencho A Village,1,,,,,1,1,,,,2,,,,0,0,4,3,4,2,2,0,2,2
99175,03/06/2023,1060774,Migory County,Suna West Sub-County,Wasweta 2 Ward,Nyamilu sub location,Ramoya C Village (Nyamilu sub location),1,,,,,0,0,,,,1,,,,0,0,1,1,2,1,1,0,1,0
372440,04/12/2023,2030792,Homa Bay County,Ndhiwa Sub-County,North Kabuoch Ward,Karading Sub-location,Wirakuom Village,1,,,0,0,1,1,,,,2,,,,0,0,3,2,4,5,2,0,2,2
308199,4/18/2023,2071524,Homa Bay County,Rangwe Sub-County,East Gem Ward,Koyolo Sub-location,Town C Village,1,,,0,0,0,0,,,,1,,,,0,0,2,1,2,0,2,0,1,0
370138,04/12/2023,2030958,Homa Bay County,Ndhiwa Sub-County,South Kabuoch Ward,Kaguria Sub-location,Nyarwenya A Village,1,,,0,0,0,0,,,,1,,,,0,0,3,3,4,0,4,0,1,0
370040,04/12/2023,2030937,Homa Bay County,Ndhiwa Sub-County,South Kabuoch Ward,Kaguria Sub-location,Nyarwenya A Village,1,,,0,0,1,0,,,,0,,,,1,,4,4,,7,0,0,0,
21112,03/06/2023,1020415,Migory County,Awendo Sub-County,West Sakwa Ward,South Kanyamgony Sub-location,Anduongo Village,1,,,,,1,0,,,,2,,,,0,0,2,2,3,2,1,0,2,1
244615,4/18/2023,2051213,Homa Bay County,Rachuonyo North Sub-County,Kibiri Ward,Kodero Sub-location,Gotkomolo A  B Village,1,,,0,0,1,0,,,,1,,,,0,0,3,3,2,4,2,0,1,1
99062,03/06/2023,1060758,Migory County,Suna West Sub-County,Wasweta 2 Ward,Nyamilu sub location,Ramoya C Village (Nyamilu sub location),1,,,,,1,0,,,,2,,,,0,0,3,3,4,3,2,0,2,1
74844,03/06/2023,1050625,Migory County,Suna East Sub-County,Kwa Ward,Ogwedhi Sub-location,Ogwedhi C Village,1,,,,,1,0,,,,1,,,,0,0,2,2,2,2,4,0,1,1
121451,03/06/2023,1070921,Migory County,Uriri Sub-County,North Kanyamkago Ward,Katieno 1 Sub-location,Nyagwethe Village (Katieno 1 Sub-location),1,,,,,0,1,,,,2,,,,0,0,2,2,4,2,3,0,2,1
316894,4/18/2023,2071421,Homa Bay County,Rangwe Sub-County,Kagan Ward,Kokoko Sub-location,Katieno Village (Kokoko Sub-location),1,,,0,0,0,0,,,,0,,,,0,,6,4,,4,3,0,0,
65760,03/06/2023,1050665,Migory County,Suna East Sub-County,Kakrao Ward,Upper Kakrao Sub-location,Ugari Village,1,,,,,0,0,,,,1,,,,1,0,3,3,2,1,1,0,1,0
298196,04/12/2023,2061331,Homa Bay County,Rachuonyo South Sub-County,South Kasipul Ward,Kasimba Sub-location,Kodik Village,1,,,0,0,0,0,,,,1,,,,0,0,2,2,2,1,1,0,1,0
241442,04/12/2023,2051211,Homa Bay County,Rachuonyo North Sub-County,Kibiri Ward,Kojwang Sub-location,Bala Village (Kojwang Sub-location),1,,,0,0,0,0,,,,1,,,,1,0,2,2,1,0,1,0,1,0
75165,03/06/2023,1050642,Migory County,Suna East Sub-County,Kwa Ward,Lwanda Asande Sub-location,Thidhna Rural Village,1,,,,,1,0,,,,2,,,,1,0,5,3,3,2,1,0,2,2
289712,04/12/2023,2061412,Homa Bay County,Rachuonyo South Sub-County,East Kamagak Ward,Obisa Sub-location,Kochieng Obisa Village,1,,,0,0,0,0,,,,0,,,,0,,3,3,,1,3,0,0,
241429,04/12/2023,2051207,Homa Bay County,Rachuonyo North Sub-County,Kibiri Ward,Kojwang Sub-location,Bala Village (Kojwang Sub-location),1,,,0,0,0,1,,,,3,,,,0,0,3,3,6,3,3,0,3,1
21037,03/06/2023,1020411,Migory County,Awendo Sub-County,West Sakwa Ward,Wanga Sub-location,Kokumu Village (Wanga Sub-Location),1,,,,,0,1,,,,2,,,,1,0,3,3,2,4,4,0,2,1
111553,03/06/2023,1071003,Migory County,Uriri Sub-County,Central Kanyamkago Ward,Nyaobe Sub-location,Nyabera 1 Village,1,,,,,0,0,,,,2,,,,0,0,2,2,3,1,2,0,2,0
160969,04/12/2023,2020666,Homa Bay County,Homabay Township Sub-County,Homabay East Ward,Komolo Sub-location,Dissi Village,1,,,0,0,0,0,,,,1,,,,0,0,3,3,2,1,1,0,1,0
121723,03/06/2023,1070940,Migory County,Uriri Sub-County,North Kanyamkago Ward,Kamgundho II Sub-location,Obuongo Twagi Village,1,,,,,0,0,,,,1,,,,0,0,2,1,2,1,1,0,1,0
94141,03/06/2023,1060785,Migory County,Suna West Sub-County,Wasimbete Ward,Giribe Sub-location,Boya Village (Giribe Sub-location),1,,,,,0,0,,,,2,,,,1,0,1,1,5,3,2,0,2,0
87896,03/06/2023,1060829,Migory County,Suna West Sub-County,Oruba Ragana Ward,Oruba Sub-location,Nyamome Village (Oruba Sub-location),0,,5. Missed spray appointment,1,2,,,,,,2,2,6,0,0,0,3,,5,,,,2,3
275371,4/18/2023,2051163,Homa Bay County,Rachuonyo North Sub-County,Karachuonyo West Ward,Rabuor Sub-location,Kakelo Village (Rabuor Sub-location),1,,,0,0,0,0,,,,0,,,,0,,3,2,,4,1,0,0,
14247,03/06/2023,1020372,Migory County,Awendo Sub-County,South Sakwa Ward,Alego East Sub-location,Uradi A Village (Alego East Sub-location),1,,,,,0,0,,,,5,,,,0,0,2,2,5,1,4,0,5,0
328235,4/18/2023,2071492,Homa Bay County,Rangwe Sub-County,West Gem Ward,Genga A Sub-location,Miranga Village (Genga Sub-location),1,,,0,0,0,2,,,,4,,,,0,0,2,2,6,1,5,0,4,2
121587,03/06/2023,1070923,Migory County,Uriri Sub-County,North Kanyamkago Ward,Katieno 2 Lower Sub-location,Minyere C Village (Katieno 2 Lower Sub-location),1,,,,,1,0,,,,1,,,,0,0,1,1,2,2,1,0,1,1
269337,4/18/2023,2051133,Homa Bay County,Rachuonyo North Sub-County,Wangchieng Ward,Kobuya west Sub-location,Kachieng Central Village,1,,,0,0,0,0,,,,2,,,,1,0,3,3,6,2,4,0,2,0
257730,4/18/2023,2051198,Homa Bay County,Rachuonyo North Sub-County,Kendu Town Ward,upper kakwajuok Sub-location,Ramba Village (Upper Kakwajuok Sub-location),1,,,0,0,0,0,,,,0,,,,1,,2,2,,0,1,0,0,
147106,03/06/2023,1070884,Migory County,Uriri Sub-County,West Kanyamkago Ward,Upper Kajulu 1 Sub-location,Nyabinga II Village(Upper Kajulu 1 Sub-location),1,,,,,0,0,,,,2,,,,0,0,4,4,4,5,4,0,2,0
296169,04/12/2023,2061386,Homa Bay County,Rachuonyo South Sub-County,West Kamagak Ward,Kokal  Sub-location,Mwamba Village,1,,,0,0,0,0,,,,2,,,,1,0,3,2,1,1,2,0,2,0
121761,03/06/2023,1070942,Migory County,Uriri Sub-County,North Kanyamkago Ward,Kamgundho I Sub-location,Kanyogot A Village,1,,,,,0,1,,,,2,,,,1,0,2,2,3,2,2,0,2,1
94037,03/06/2023,1060780,Migory County,Suna West Sub-County,Wasimbete Ward,Mubachi Sub-location,Rosabare/Masurura Village,1,,,,,0,0,,,,1,,,,1,0,2,2,2,0,2,0,1,0
41502,03/06/2023,1030479,Migory County,Nyatike Sub-County,Kanyasa Ward,Wang'aya Sub-location,Nyodieny A Village (Wang'aya Sub-location),1,,,,,2,1,,,,2,,,,1,0,3,2,5,4,3,0,2,3
243523,04/12/2023,2051219,Homa Bay County,Rachuonyo North Sub-County,Kibiri Ward,Kowili Sub-location (Rachuonyo North Ward),Kamaindi A Village,1,,,0,0,1,1,,,,2,,,,1,0,2,2,4,2,2,0,2,0
78833,3/17/2023,1050621,Migory County,Suna East Sub-County,Kwa Ward,Ogwedhi Sub-location,Ogwedhi A Village,0,,4. Refused,1,0,,,,,,1,2,1,0,0,0,2,,3,,,,1,1
253510,04/12/2023,2051171,Homa Bay County,Rachuonyo North Sub-County,Central Karachuonyo Ward,Kodondi Sub-location,Kwaro A Village,1,,,0,0,0,0,,,,0,,,,0,,2,2,,1,1,0,0,
311136,4/18/2023,2071500,Homa Bay County,Rangwe Sub-County,East Gem Ward,Koyolo Sub-location,Katunglu Village,1,,,0,0,0,1,,,,1,,,,1,0,2,2,4,3,1,0,1,1
104574,03/06/2023,1060740,Migory County,Suna West Sub-County,Wiga Ward,Mukuro Sub-location,Kipingi Village (Mukuro Sub-location),1,,,,,0,2,,,,1,,,,1,0,3,3,3,4,3,0,1,2
315287,4/18/2023,2071431,Homa Bay County,Rangwe Sub-County,Kagan Ward,Kanyarwanda Sub-location,Kasembe Village,1,,,0,0,0,0,,,,1,,,,1,0,3,3,2,1,1,0,1,0
306243,04/12/2023,2061352,Homa Bay County,Rachuonyo South Sub-County,West Kasipul Ward,Karabach Sub-location,Dindi Village,1,,,0,0,0,0,,,,0,,,,1,,3,3,,2,2,0,0,
234222,04/12/2023,2041037,Homa Bay County,Rachuonyo East Sub-County,Kabondo East Ward,Kodhoch East Sub-location,Kasala A Village,1,,,0,0,2,2,,,,4,,,,1,0,7,7,8,6,4,0,4,4
14161,03/06/2023,1020365,Migory County,Awendo Sub-County,South Sakwa Ward,Waundha  Sub-location,Saka A Village,1,,,,,0,0,,,,0,,,,1,,2,2,,1,4,0,0,
94113,03/06/2023,1060788,Migory County,Suna West Sub-County,Wasimbete Ward,Giribe Sub-location,Boya Village (Giribe Sub-location),1,,,,,1,1,,,,3,,,,1,0,3,2,7,4,3,0,3,2
20928,03/06/2023,1020401,Migory County,Awendo Sub-County,West Sakwa Ward,Kamresi Sub-location,Kodeny Village A (Kamresi Sub-location),1,,,,,0,0,,,,0,,,,0,,2,2,,1,0,0,0,
241579,04/12/2023,2051208,Homa Bay County,Rachuonyo North Sub-County,Kibiri Ward,Kojwang Sub-location,Bala Village (Kojwang Sub-location),1,,,0,0,1,1,,,,2,,,,0,0,5,4,5,2,3,0,2,2
261410,4/18/2023,2051247,Homa Bay County,Rachuonyo North Sub-County,Karachuonyo North Ward,Wagwe South Sub-location,Kagai B Village,1,,,0,0,0,0,,,,2,,,,1,0,3,3,4,1,2,0,2,0
33596,03/06/2023,1030493,Migory County,Nyatike Sub-County,Kachieng Ward,Raga Sub-location,Kanyodieny B Village,1,,,,,2,0,,,,1,,,,0,0,1,1,3,4,0,0,1,2
181104,04/12/2023,2030832,Homa Bay County,Ndhiwa Sub-County,Kosewe Ward,Upper Kayambo Sub-location,Ndisi C Village,1,,,0,0,0,1,,,,3,,,,1,0,3,2,5,2,3,0,3,1
121924,03/06/2023,1070955,Migory County,Uriri Sub-County,North Kanyamkago Ward,Katieno 2 Lower Sub-location,Nyaroya Village (Katieno 2 Lower Sub-location),1,,,,,0,0,,,,1,,,,0,0,3,3,2,1,2,0,1,0
181028,04/12/2023,2030825,Homa Bay County,Ndhiwa Sub-County,Kosewe Ward,Kwamo Sub-location,Rachar Village,1,,,0,0,0,0,,,,0,,,,0,,5,5,,1,1,0,0,
10170,3/17/2023,1020329,Migory County,Awendo Sub-County,North Sakwa Ward,East Kakmasia Sub-location,Kimaye Village (East Kakmasia),1,,,,,0,0,,,,3,,,,0,0,4,4,3,0,3,0,3,0
147575,04/12/2023,2020643,Homa Bay County,Homabay Township Sub-County,West Ward,North Kanyabala Sub-location,Yao B Village,1,,,0,0,0,0,,,,4,,,,1,1,5,5,10,3,6,0,4,0
273971,4/18/2023,2051141,Homa Bay County,Rachuonyo North Sub-County,Karachuonyo West Ward,Kayoo West Sub-location (Karachuonyo West Ward),Koguma Village,1,,,0,0,0,1,,,,1,,,,0,0,3,3,3,1,2,0,1,1
134346,3/17/2023,1070858,Migory County,Uriri Sub-County,South Kanyamkago Ward,Got Uriri Sub-location,Ombo Got Village,1,,,,,0,0,,,,1,,,,0,0,4,4,2,1,1,0,1,0
326650,4/18/2023,2071479,Homa Bay County,Rangwe Sub-County,West Gem Ward,Kamagawi Sub-location,Kongwenya Village,1,,,0,0,1,1,,,,0,,,,0,,3,3,,3,1,0,0,
164050,04/12/2023,2020684,Homa Bay County,Homabay Township Sub-County,Arujo Ward,Arujo Sub-location,Ruga South Village,1,,,0,0,0,0,,,,2,,,,0,0,3,3,3,1,2,0,2,0
326632,4/18/2023,2071480,Homa Bay County,Rangwe Sub-County,West Gem Ward,Kamagawi Sub-location,Kongwenya Village,1,,,0,0,0,0,,,,1,,,,1,0,3,2,2,1,1,0,1,0
320025,04/12/2023,2071469,Homa Bay County,Rangwe Sub-County,Kochia Ward,Kamenya (Kochia Ward) Sub-location,Kawuor B Village (Kamenya Sub-location),1,,,0,0,0,0,,,,2,,,,0,0,2,2,2,0,2,0,2,0
275313,4/18/2023,2051158,Homa Bay County,Rachuonyo North Sub-County,Karachuonyo West Ward,Rabuor Sub-location,Kakelo Village (Rabuor Sub-location),1,,,0,0,0,0,,,,1,,,,0,0,3,3,2,1,1,0,1,0
78527,3/17/2023,1050638,Migory County,Suna East Sub-County,Kwa Ward,Onguo Sub-location,Mitangwe Village,1,,,,,0,0,,,,1,,,,0,0,3,3,2,2,2,0,1,0
248597,04/12/2023,2051091,Homa Bay County,Rachuonyo North Sub-County,Kanyaluo Ward,Kowuor west Sub-location,Bwanda Village,1,,,0,0,0,0,,,,1,,,,0,0,3,3,2,0,2,0,1,0
216656,04/12/2023,2041001,Homa Bay County,Rachuonyo East Sub-County,Kokwanyo Kakelo Ward,Kakelo Dudi B Sub-location,Matabore B Village,1,,,0,0,0,0,,,,2,,,,0,1,3,3,2,2,0,1,2,0
244843,4/18/2023,2051232,Homa Bay County,Rachuonyo North Sub-County,Kibiri Ward,Kodero Sub-location,Kakumu Village,1,,,0,0,0,0,,,,2,,,,1,0,8,8,4,1,1,0,2,0
26786,03/06/2023,1030577,Migory County,Nyatike Sub-County,Got Kachola Ward,Aneko Sub-location,Duka Village,1,,,,,1,0,,,,1,,,,0,0,2,2,6,6,0,0,1,1
19137,3/17/2023,1020382,Migory County,Awendo Sub-County,South Sakwa Ward,Alego Central Sub-location,Mariwa A Village (Alego Central Sub-location),1,,,,,0,0,,,,0,,,,1,,3,3,,1,3,0,0,
26874,03/06/2023,1030580,Migory County,Nyatike Sub-County,Got Kachola Ward,Aneko Sub-location,Miriwi/Mikei Village,1,,,,,1,0,,,,4,,,,0,0,4,3,7,3,4,0,4,1
33565,03/06/2023,1030492,Migory County,Nyatike Sub-County,Kachieng Ward,Gunga Sub-location,Kaduro Village,1,,,,,2,0,,,,2,,,,0,0,2,2,5,3,2,0,2,2
243532,04/12/2023,2051220,Homa Bay County,Rachuonyo North Sub-County,Kibiri Ward,Kowili Sub-location (Rachuonyo North Ward),Kokendo A & B Village,1,,,0,0,1,0,,,,2,,,,1,0,2,2,3,2,1,0,2,1
382660,04/12/2023,2030816,Homa Bay County,Ndhiwa Sub-County,Kologi Ward,Kachola Sub-location,Kochieng Village (Kachola Sub-location),1,,,0,0,1,1,,,,1,,,,0,1,2,2,4,2,2,1,1,2
87651,03/06/2023,1060811,Migory County,Suna West Sub-County,Oruba Ragana Ward,Lower Marindi Sub-location,Pand Pieri Village (Lower Marindi Sub-location),1,,,,,0,0,,,,2,,,,0,0,2,2,5,0,10,0,2,0
221411,04/12/2023,2041080,Homa Bay County,Rachuonyo East Sub-County,Kojwach Ward,Kamuga (Kojwach Ward) Sub-location,Pundo Village (Kamuga Sub-location),1,,,0,0,1,1,,,,2,,,,0,0,2,2,4,1,2,0,2,2
94247,03/06/2023,1060777,Migory County,Suna West Sub-County,Wasimbete Ward,Nyamaraga Sub-location,Ngochone Village,1,,,,,0,0,,,,1,,,,1,0,2,2,2,0,2,0,1,0
26793,03/06/2023,1030577,Migory County,Nyatike Sub-County,Got Kachola Ward,Aneko Sub-location,Duka Village,1,,,,,1,0,,,,2,,,,1,0,3,2,6,3,3,0,2,0
119700,3/17/2023,1070961,Migory County,Uriri Sub-County,East Kanyamkago Ward,Arambe Sub-location,Arambe A Village,1,,,,,1,0,,,,2,,,,0,0,2,2,6,2,4,0,2,1
36122,03/06/2023,1030539,Migory County,Nyatike Sub-County,Kaler Ward,Bande Sub-location,Aongedhiang' 'B2' Village,1,,,,,2,0,,,,2,,,,0,0,2,2,6,5,1,0,2,2
147174,03/06/2023,1070889,Migory County,Uriri Sub-County,West Kanyamkago Ward,Lower Kajulu 1 Sub-location,Got Korwa Village (Lower Kajulu 1 Sub-location),1,,,,,0,1,,,,2,,,,1,0,1,1,4,1,3,0,2,1
147260,03/06/2023,1070897,Migory County,Uriri Sub-County,West Kanyamkago Ward,Kajulu 2 Upper Sub-location,Dunga I Village,1,,,,,1,1,,,,1,,,,0,0,2,2,3,3,3,0,1,2
114056,3/17/2023,1071299,Migory County,Uriri Sub-County,Central Kanyamkago Ward,Nyaobe Sub-location,Kamakanga 1 Village,1,,,,,1,0,,,,2,,,,0,0,2,2,5,5,0,0,2,1
121542,03/06/2023,1070925,Migory County,Uriri Sub-County,North Kanyamkago Ward,Katieno 2 Lower Sub-location,Minyere C Village (Katieno 2 Lower Sub-location),1,,,,,0,0,,,,1,,,,0,0,1,1,2,0,2,0,1,0
370231,04/12/2023,2030946,Homa Bay County,Ndhiwa Sub-County,South Kabuoch Ward,Kobita  Sub-location,Ywari Village,1,,,0,0,1,0,,,,2,,,,1,0,2,2,5,3,2,0,2,1
5004,03/06/2023,1020309,Migory County,Awendo Sub-County,Central Sakwa Ward,Kamaure Sub-location,Konoka A Village,1,,,,,0,0,,,,0,,,,0,,1,1,,0,3,0,0,
306214,04/12/2023,2061349,Homa Bay County,Rachuonyo South Sub-County,West Kasipul Ward,Karabach Sub-location,Dindi Village,1,,,0,0,0,1,,,,2,,,,0,0,3,3,4,1,3,0,2,1
257661,4/18/2023,2051174,Homa Bay County,Rachuonyo North Sub-County,Central Karachuonyo Ward,Kamser A Sub-location,Nyagoa C Village,1,,,0,0,0,0,,,,2,,,,0,0,1,1,3,1,2,0,2,0
172716,04/12/2023,2101574,Homa Bay County,Suba Central Sub-County,Mfangano Ward,Soklo North Sub-location,Lwala Village (Soklo North Sub-location),1,,,0,0,1,1,,,,4,,,,0,0,3,3,5,1,5,0,4,5
178406,04/12/2023,2030882,Homa Bay County,Ndhiwa Sub-County,Kologi Ward,Kajwang Sub-location,Sero A Village,1,,,0,0,0,0,,,,2,,,,0,0,3,3,4,1,3,0,2,0
121888,03/06/2023,1070958,Migory County,Uriri Sub-County,North Kanyamkago Ward,Katieno 2 Lower Sub-location,Nyaroya Village (Katieno 2 Lower Sub-location),1,,,,,0,0,,,,0,,,,1,,1,1,,2,1,0,0,
142507,3/17/2023,1070915,Migory County,Uriri Sub-County,West Kanyamkago Ward,Kajulu 2 Lower Sub-location,Ongenga Village,1,,,,,0,0,,,,0,,,,0,,1,1,,0,2,0,0,
226029,04/12/2023,2040975,Homa Bay County,Rachuonyo East Sub-County,Kabondo West Ward,Kodumo West Sub-location,Kachieng' Opanga Village,0,,5. Missed spray appointment,0,0,,,,,,1,4,1,0,0,0,3,,2,,,,1,0
21065,03/06/2023,1020418,Migory County,Awendo Sub-County,West Sakwa Ward,South Kanyamgony Sub-location,Anduongo Village,1,,,,,0,0,,,,2,,,,0,0,4,3,4,0,4,0,2,0
267377,04/12/2023,2051117,Homa Bay County,Rachuonyo North Sub-County,Wangchieng Ward,Kajiei Sub-location,Lower Kanyangwena Village,1,,,0,0,2,0,,,,0,,,,0,,4,4,,3,0,1,0,
319880,04/12/2023,2071465,Homa Bay County,Rangwe Sub-County,Kochia Ward,Kamenya (Kochia Ward) Sub-location,Kawuor A Village (Kamenya Sub-location),1,,,0,0,0,0,,,,0,,,,0,,3,3,,1,2,0,0,
53001,03/06/2023,1030457,Migory County,Nyatike Sub-County,North Kadem Ward,Kakelo Kakoth Sub-location,Kabuto C Village,1,,,,,0,1,,,,2,,,,1,0,1,1,4,2,2,0,2,1
130249,03/06/2023,1070841,Migory County,Uriri Sub-County,South Kanyamkago Ward,Bware Sub-location,Kisungwanua B Village,1,,,,,0,0,,,,1,,,,1,0,1,1,3,1,2,0,1,0
319821,04/12/2023,2071449,Homa Bay County,Rangwe Sub-County,Kochia Ward,Kowili Sub-location,Karabala/Kambogo Village,1,,,0,0,0,0,,,,3,,,,1,0,4,2,5,1,4,0,3,0
130253,03/06/2023,1070842,Migory County,Uriri Sub-County,South Kanyamkago Ward,Bware Sub-location,Kisungwanua B Village,0,,4. Refused,1,0,,,,,,1,2,1,1,0,1,2,,2,,,,1,1
216767,04/12/2023,2041011,Homa Bay County,Rachuonyo East Sub-County,Kokwanyo Kakelo Ward,Kakelo Kamroth  Sub-location,Kowuor Oklola Village,1,,,0,0,2,0,,,,0,,,,1,,2,2,,4,1,0,0,
65910,03/06/2023,1050682,Migory County,Suna East Sub-County,Kakrao Ward,Saro Sub-location,Makongitwa Village,1,,,,,0,0,,,,1,,,,0,0,3,2,2,1,1,0,1,0
84631,3/17/2023,1050594,Migory County,Suna East Sub-County,Suna Central Ward,Mapera Sub-location,Anding'o Koriwo Village,1,,,,,0,0,,,,0,,,,1,,2,2,,1,0,0,0,
